"id","status","triggerpoints_before","triggerpoints_after","name"
"upper-trapezius","updated","2","2","M. trapezius pars descendens"
"sternocleidomastoid","updated","2","2","SCM"
"splenius-capitis","updated","3","3","M. splenius capitis"
"splenius-cervicis","updated","2","2","M. splenius cervicis"
"semispinalis-capitis","updated","3","3","M. semispinalis capitis"
"longissimus-capitis","updated","1","1","M. longissimus capitis"
"semispinalis-cervicis","updated","2","2","M. semispinalis cervicis"
"cervical-multifidus","updated","2","2","M. multifidus cervicis"
"cervical-rotatores","updated","2","2","M. rotatores cervicis"
